username,user_id,role_cd,time_zone,location_cd,country_cd
2118llake,1320850,ASSOCIATE,America/Toronto,129,CA
0130nathan,1731178,ASSOCIATE,America/Montreal,130,CA
2626amaracle,1433508,SHIFT_LDR,America/Toronto,165,CA
179JEDadag,1788076,ASSOCIATE,America/Edmonton,179,CA
1461MWood,1352500,SHIFT_LDR,America/Toronto,215,CA
0229amanasia,1686747,ASSOCIATE,America/Vancouver,229,CA
9027NHannam,1809153,ASSOCIATE,America/St_Johns,230,CA
Jatin265,1793118,ASSOCIATE,America/Montreal,265,CA
0279aislam,1727771,ASSOCIATE,America/Regina,279,CA
0280hpolson,1070379,ASSISTANT_MGR,America/Halifax,280,CA
0316RDevera,1714916,ASSOCIATE,America/Toronto,316,CA
533IElmi,1387737,ASSOCIATE,America/Edmonton,330,CA
0380daniel,1657929,ASSOCIATE,America/Toronto,380,CA
Makelarust,1771899,ASSOCIATE,America/Vancouver,415,CA
0416MLazure,1544341,ASSOCIATE,America/Toronto,416,CA
0430megane,1808695,ASSOCIATE,America/Montreal,430,CA
2567SMcCoy,145929,ASSOCIATE,America/Toronto,466,CA
curtis.sovann,1652112,ASSOCIATE,America/Halifax,480,CA
0515mmcmillan,1618496,ASSOCIATE,America/Moncton,515,CA
0516KStarr,1797196,ASSOCIATE,America/Vancouver,516,CA
0530RGuler,1661698,ASSOCIATE,America/Toronto,530,CA
0565Ashlee,1658241,ASSOCIATE,America/Toronto,565,CA
0854shinton1,1066038,MUM,America/Halifax,566,CA
0580MYoung1,1814233,ASSOCIATE,America/Halifax,580,CA
615GRACEA,1552652,ASSOCIATE,America/Toronto,615,CA
616MShakir,1682188,ASSOCIATE,America/Toronto,616,CA
4763Shahzad,7713,REST_MGR,America/Edmonton,665,CA
0666sbobinski,1778669,ASSOCIATE,America/Toronto,666,CA
hind0751,1637021,ASSOCIATE,America/Montreal,751,CA
765,1762563,ASSOCIATE,America/Halifax,765,CA
0766CTizzard,1554779,ASSOCIATE,America/Halifax,766,CA
816SARANYA,1789763,ASSOCIATE,America/Toronto,816,CA
0865Jacob,1642881,ASSOCIATE,America/Halifax,865,CA
901blake,1766458,ASSOCIATE,America/Toronto,901,CA
0069MNorden,324733,ASSOCIATE,America/Moncton,915,CA
0916Peyton,1822221,ASSOCIATE,America/Toronto,916,CA
0965AlYoung,53384,SHIFT_LDR,America/St_Johns,965,CA
966peter,1725206,ASSOCIATE,America/Toronto,966,CA
1001smollick,1480715,ASSOCIATE,America/Toronto,1001,CA
1065LIles,1816480,ASSOCIATE,America/Toronto,1065,CA
2606PFitzgerald,198679,ASSOCIATE,America/Toronto,1066,CA
1101pravi,1804167,ASSOCIATE,America/Toronto,1101,CA
Lucas1048,1318796,ASSOCIATE,America/Toronto,1115,CA
1116ddespres,1416413,MUM,America/Toronto,1116,CA
1151MFortier,1779354,ASSOCIATE,America/Montreal,1151,CA
Neel40317,1749251,ASSOCIATE,America/Winnipeg,1152,CA
1202Alyssa,1777285,ASSOCIATE,America/Toronto,1202,CA
2750ALEXANDRAS,1561022,SHIFT_LDR,America/Montreal,1215,CA
1216AKaur,1821757,ASSOCIATE,America/Toronto,1216,CA
1301LJoshua1,1671793,ASSOCIATE,America/Toronto,1301,CA
1316Elise,1711447,ASSOCIATE,America/Montreal,1316,CA
1351RGaudet,1730108,ASSOCIATE,America/Toronto,1351,CA
399aduchesne,1385589,ASSOCIATE,America/Toronto,1352,CA
1402EMooney,1755206,ASSOCIATE,America/Toronto,1402,CA
1416nsohajee,1517856,ASSOCIATE,America/Edmonton,1416,CA
1452JMorgan,1246298,ASSOCIATE,America/Halifax,1452,CA
1502KHenry,1815330,ASSOCIATE,America/Toronto,1502,CA
1516LButt,1665230,ASSISTANT_MGR,America/Toronto,1516,CA
1551JAllen,1427009,ASSOCIATE,America/Toronto,1551,CA
1552SProbert,1742506,ASSOCIATE,America/Toronto,1552,CA
1566mghas,1517463,ASSOCIATE,America/Vancouver,1566,CA
Ecaissie,1082749,ASSOCIATE,America/Moncton,1601,CA
1602Sukhjot,1797512,ASSOCIATE,America/Toronto,1602,CA
1902Pfalguni,1539422,ASSOCIATE,America/Toronto,1651,CA
1652rgatus,1820613,ASSOCIATE,America/Toronto,1652,CA
1687catherine,1545413,ASSOCIATE,America/Toronto,1687,CA
711neustaquio,1542439,REST_MGR,America/Vancouver,1701,CA
1702gmilot,1652740,ASSOCIATE,America/Montreal,1702,CA
1737william,1539553,ASSOCIATE,America/Montreal,1737,CA
1751CThibeault,171720,ASSOCIATE,America/Vancouver,1751,CA
1752skaur,1625383,SHIFT_LDR,America/Toronto,1752,CA
01787jpatel,1701254,SHIFT_LDR,America/Winnipeg,1787,CA
2830stevenl,1633537,ASSOCIATE,America/Moncton,1802,CA
1837SPatel,1566286,ASSOCIATE,America/Toronto,1837,CA
1851SUlici,1513441,SHIFT_LDR,America/Winnipeg,1851,CA
1852nehemie,1702751,ASSOCIATE,America/Montreal,1852,CA
1813NDhaliwal,1580501,SHIFT_LDR,America/Toronto,1887,CA
1901MIBasto,1524180,ASSOCIATE,America/Toronto,1901,CA
